Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR16124316_1	SRR16124316_1.fastq	Conventional base calls	Sanger / Illumina 1.9	38918186.0	0.0	98-150	46.0	68.89050764852591	145.83491090771804	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
SRR16124316_2	SRR16124316_2.fastq	Conventional base calls	Sanger / Illumina 1.9	38918186.0	0.0	99-150	46.0	69.84090060787047	145.52006185488708	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
SRR16124319_1	SRR16124319_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33270389.0	0.0	98-150	48.0	72.93443993018055	141.77777386372009	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR16124319_2	SRR16124319_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33270389.0	0.0	99-150	48.0	73.32952880164189	141.7157305855366	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR16124320_1	SRR16124320_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35906278.0	0.0	98-150	45.0	85.29765777137561	142.86194347406322	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
SRR16124320_2	SRR16124320_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35906278.0	0.0	99-150	45.0	85.63313528980349	142.4296780078403	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
SRR16124322_1	SRR16124322_1.fastq	Conventional base calls	Sanger / Illumina 1.9	39925357.0	0.0	98-150	46.0	65.15505830905438	142.88628692787893	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124322_2	SRR16124322_2.fastq	Conventional base calls	Sanger / Illumina 1.9	39925357.0	0.0	99-150	46.0	65.73637052735786	142.6946198627604	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124323_1	SRR16124323_1.fastq	Conventional base calls	Sanger / Illumina 1.9	40896138.0	0.0	98-150	48.0	70.70931152312302	145.1621449927619	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124323_2	SRR16124323_2.fastq	Conventional base calls	Sanger / Illumina 1.9	40896138.0	0.0	99-150	48.0	71.23134588663552	144.94482378751755	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
